stary-nazev,novy-nazev,alt-tag-cs,poznamka
Pixel-11-Pro.jpg,google-pixel-camera-module-mint-green.jpg,Detail fotoaparátu Google Pixel v mátově zelené barvě s logem G,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-Pro-2.jpg,google-pixel-green-camera-module-detail.jpg,Detail zeleného Google Pixel telefonu se třemi fotoaparáty a logem G,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-pouzdro.webp,google-pixel-9-pro-transparent-magsafe-case.jpg,Průhledný kryt s magnetickým kroužkem na růžovém Google Pixel 9 Pro,"✓ analyzováno, připraveno k aplikaci"
HyperOS-4-beta.webp,xiaomi-hyperos-4-beta-rollout-schedule.jpg,Xiaomi HyperOS 4 Beta harmonogram aktualizace pro telefony Xiaomi a Redmi,"✓ analyzováno, připraveno k aplikaci"
Honor-unik.webp,digital-chat-station-widescreen-display-leak.jpg,Příspěvek leakera Digital Chat Station o široko-úhlých displejích,"✓ analyzováno, připraveno k aplikaci"
Honor-unik-baterie.webp,honor-12000mah-battery-leak-digital-chat-station.png,Únik informací o novém Honor telefonu s baterií 12000mAh od Digital Chat Station,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-Pro-Fold.webp,google-pixel-fold-black-front-back.jpg,Skládací telefon Google Pixel Fold v černé barvě zezadu i zepředu,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-serie-Pixel-Watch-Buds-e1786610958982.webp,google-pixel-9-series-smartphones-watch-buds.jpg,"Řada Google Pixel 9 – chytré telefony, hodinky Pixel Watch a sluchátka Buds","✓ analyzováno, připraveno k aplikaci"
Qsirch-AI-Mode_PR1310_cz.jpg,qnap-qsirch-ai-rag-search-nas.jpg,QNAP Qsirch s novým AI režimem RAG Search pro vyhledávání souborů na NAS,"✓ analyzováno, připraveno k aplikaci"
Investicne-plany-.jpg,financni-rovnovaha-mince-vahy-uspory.jpg,Ruka skládá zlaté mince na dřevěné váhy jako symbol finanční rovnováhy a úspor,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-Pro-3.jpg,google-pixel-pink-camera-module-detail.jpg,Detail fotoaparátu růžového Google Pixel telefonu s trojitou kamerou,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-Pro-4.jpg,google-pixel-9-cerny-detail-fotoaparatu.jpg,Detail zadního fotoaparátu černého telefonu Google Pixel 9 s logem G,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-Pro-Fold-2.webp,android-sign-language-translation-foldable-phone.jpg,Skládací telefon Android s překladem znakové řeči a přepisem řeči na displeji,"✓ analyzováno, připraveno k aplikaci"
2026-CRN-Storage-100_PR1313_cz.jpg,qnap-crn-storage-100-top-50-2026.jpg,QNAP v žebříčku CRN Storage 100 mezi TOP 50 dodavateli softwarově definovaných úložišť,"✓ analyzováno, připraveno k aplikaci"
Berkshire-Hathaway-.jpg,wall-street-sign-nyse-stock-market.jpg,"Cedule Wall Street s americkými vlajkami u burzy NYSE, akciový trh","✓ analyzováno, připraveno k aplikaci"
Honor-unik-2.webp,digital-chat-station-rear-screen-camera-phone-leak.jpg,"Únik Digital Chat Station o zadním displeji 1,7 palce u tenkých telefonů","✓ analyzováno, připraveno k aplikaci"
Pixel-11-pouzdro-2.webp,google-pixel-9-pro-clear-case-magsafe.jpg,Průhledný kryt na Google Pixel 9 Pro s podporou magnetického nabíjení,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-pouzdro-3.webp,google-pixel-9-cases-color-options.jpg,Oficiální kryty Google Pixel 9 ve čtyřech barevných variantách,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-pouzdro-4.webp,google-pixel-fold-cases-black-green.jpg,Ochranná pouzdra pro Google Pixel Fold v černé a zelené barvě s logem G,"✓ analyzováno, připraveno k aplikaci"
Pixel-11-pouzdro-5.webp,google-pixel-phone-ring-holder-colors.jpg,"Google Pixel držák na telefon s prstenem ve třech barvách - růžová, černá, zelená","✓ analyzováno, připraveno k aplikaci"
